Code,Title
AIM 704,Multi-Agent Systems
AIM 825A,Visual Recognition
AIM 825B,Visual Recognition
AIM 829,Natural Language Processing
AIM 831,Few-shot Learning
AIM 832,Reinforcement Learning
CSE 816,Software Production Engineering
DAS 101A,Database Systems
DAS 101B,Database Systems
DAS 101PA,Database Lab
DAS 101PB,Database Lab
DAS 605,Data Modelling
EGC 121A,Computer Architecture
EGC 121B,Computer Architecture
EGC 123A,Computer Networks
EGC 123B,Computer Networks
ECE 212,Analog Circuits
ECE 212P,Analog Circuits Lab
ECE 303,Principles of Communication Systems
ECE 303P,Principles of Communication Systems Lab
ECE 304,Signal Processing
EGC 301,Operating Systems
EGC 301P,Operating Systems Lab
DHS 110,Social Pathways to IT
AMS 404,Science& Maths Pool-1 (A computational introduction to Number Theory)
AMS 403,Science& Maths Pool-2 (Elements of Statistical Physics)
AMS 402,Science& Maths Pool-3 (Basic Computational Topology)
AMS 401,Science& Maths Pool-4 (Electromagnetics & Radiation Systems)
COM 863,Fundamentals of Radar Sensing
COM 605,5G-NR Radio Access Network Design with Hands-on
VLS 804,Analog Power ICs
VLS 731,VLSI Architecture Design
VLS 603,Electronic Systems Packaging
DHS 101BA,Economics-II
DHS 101BB,Economics-II
DHS 108,The City
DHS 305,Innovation and Design Thinking
DHS 308,User Experience
DHS 314,An Introduction to Accessibility in the Global South
DHS 315,"Technology, Regulation and Law"
CSE 212,Design and Analysis of Algorithms
CSE 102A,Data Structures and Algorithms
CSE 102B,Data Structures and Algorithms
CSE 102PA,Data Structures and Algorithms Lab
CSE 102PB,Data Structures and Algorithms Lab
CSE 104A,Linear Algebra
CSE 104B,Linear Algebra
CSE 704,Topics in Computability and Learning
CSE 718,Foundations of Distributed Consensus and BlockchAIMns
CSE 754,Programming Languages
CSE 819,Robotics
CSE 852,Approximation Algorithms
DHS 611,Research and Publication Ethics
CSE 606,Computer Graphics
CSE 824,Cyber Security Fundamentals with Tools & Techniques for Defence
COM 837,ML for Wireless Communication
CSE 836,Simulation and Modeling of Data using High Performance Computing
DHS 306,Software Architecture for Digital Products
